"COUNTRY","Country","Continent","Region","LifeExpectancy","GNI","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","Internet","Physicians","HDI","Schooling1","Schooling2"
"124","MYS","Malaysia","Asia","East Asia & Pacific",74.718,7760,7.38416,31624.264,16.27,4.18806,18.76841,65.8,22.855,0.803,13.34304047,10.64505959
"125","NAM","Namibia","Africa","Sub-Saharan Africa",64.57598,4250,30.13858,2533.794,24.05,7.47668,27,12.9414,5.902,0.615,11.92720692,7.192013277
"126","NER","Niger","Africa","Sub-Saharan Africa",63.28761,360,45.61449,21477.348,93.18,14.29089,3.9,1.4077,0.345,0.4,6.957111988,2.116717299
"127","NGA","Nigeria","Africa","Sub-Saharan Africa",62.61868,1170,72.24408,190886.311,61.73,13.13708,5,32.8763,3.806,0.535,10.12758388,7.181074153
"128","NIC","Nicaragua","Americas","Latin America & Caribbean",75.03769,1100,13.79294,6217.581,22.16,2.32705,9.29783,13.5,16.645,0.667,12.64135783,7.144
"129","NLD","Netherlands","Europe","Europe & Central Asia",81.79341,48920,3.57804,17132.854,11.96,0.62763,31.7,93,40.794,0.941,18.69316522,12.58162975
"130","NOR","Norway","Europe","Europe & Central Asia",82.61812,86390,1.79101,5282.223,6.82,0.69327,35.3,95,50.47,0.961,18.18519974,13.00362968
"131","NPL","Nepal","Asia","South Asia",70.88377,490,23.59165,29304.998,81.57,4.01786,3,11.1493,8.516,0.602,12.88694954,5.121792742
"132","NZL","New Zealand","Oceania","East Asia & Pacific",81.96268,29350,3.92786,4793.9,6.65,0.78595,25.7,89.5109,36.183,0.937,20.28388977,12.94468975
"133","OMN","Oman","Asia","Middle East & North Africa",73.89786,19260,9.45465,4636.262,43.69,0.81832,14.7,60,17.738,0.816,14.57349014,11.65404034
"134","PAK","Pakistan","Asia","South Asia",65.60827,1050,54.15241,197015.955,58.76,8.51433,6.3,9.9637,11.179,0.544,8.658349991,4.536330223
"135","PAN","Panama","Americas","Latin America & Caribbean",79.29353,7010,12.34119,4098.587,14.74,31.02214,22.54021,45.1999,16.324,0.805,13.05787868,10.54059029
"136","PER","Peru","Americas","Latin America & Caribbean",79.89777,4900,9.95127,32165.485,30.46,15.2085,15.91457,38.2,13.694,0.762,15.38773354,9.885518863
"137","PHL","Philippines","Asia","East Asia & Pacific",70.42632,2060,20.94585,104918.09,21.29,13.72102,9.9,36.2351,7.727,0.699,13.12656975,8.969099998
"138","PLW","Palau","Oceania","East Asia & Pacific",NA,6560,15.66991,21.729,8.79,NA,NA,NA,17.68,0.767,15.78432,12.49143
"139","PNG","Papua New Guinea","Oceania","East Asia & Pacific",65.30473,1300,35.23083,8251.162,11.11,11.03664,NA,2.30196,0.661,0.558,10.36077074,4.74
"140","POL","Poland","Europe","Europe & Central Asia",78.26672,12450,3.73805,37975.841,20.96,1.07172,65.4,65,37.708,0.876,16.0271492,13.1647501
"141","PRT","Portugal","Europe","Europe & Central Asia",81.57421,21830,2.7261,10293.718,7.69,0.56688,34.5,64,54.837,0.866,16.87122917,9.575940132
"142","PRY","Paraguay","Americas","Latin America & Caribbean",75.80984,2730,16.18318,6811.297,11.94,8.0279,8.28067,27.0758,10.515,0.717,12.98799113,8.861840248
"143","PSE","occupied Palestinian territory, including east Jerusalem","Asia","Middle East & North Africa",NA,NA,14.19571,4684.777,NA,NA,NA,NA,NA,0.715,13.35801029,9.938480377
"144","QAT","Qatar","Asia","Middle East & North Africa",77.17221,73060,4.92659,2639.211,80.8,0.26177,12.5,88.10437,24.852,0.855,12.63722038,9.99601145
"145","ROU","Romania","Europe","Europe & Central Asia",75.5658,7850,5.63455,19586.539,14.76,1.8593,68.921,50,29.807,0.821,14.22990036,11.27511978
"146","RUS","Russian Federation","Europe","Europe & Central Asia",73.23246,9880,4.35783,144495.044,9.8,7.84945,71.2,53.2748,38.187,0.822,15.76636982,12.77428805
"147","RWA","Rwanda","Africa","Sub-Saharan Africa",69.10349,520,30.26837,12208.407,39.7,4.33973,16,8.02385,1.182,0.534,11.23097038,4.425292358
"148","SAU","Saudi Arabia","Asia","Middle East & North Africa",74.31111,16610,5.99316,32938.213,60.11,1.83692,22.4,54,27.384,0.875,16.13549042,11.31052971
"149","SDN","Sudan","Africa","Sub-Saharan Africa",69.14727,1300,39.91587,40533.33,43.8,8.61794,7.4,21,2.618,0.508,7.945187858,3.82
"150","SEN","Senegal","Africa","Sub-Saharan Africa",68.57918,1080,28.85056,15850.567,59.78,12.20036,3,19.2036,0.881,0.511,8.963749886,2.937938258
"151","SGP","Singapore","Asia","East Asia & Pacific",83.22195,39410,1.84721,5612.253,17.24,0.27647,24.86167,74.1818,24.601,0.939,16.5243206,11.92488003
"152","SLB","Solomon Islands","Oceania","East Asia & Pacific",65.24883,1030,16.58017,611.343,11.12,5.76351,14,6.9974,1.937,0.564,10.32869027,5.711848
"153","SLE","Sierra Leone","Africa","Sub-Saharan Africa",60.7705,340,80.09711,7557.212,54.28,3.63908,4,1.3,0.74,0.477,9.57339109,4.576081285
"154","SLV","El Salvador","Americas","Latin America & Caribbean",75.033,3370,11.08189,6377.853,29.14,53.78262,11.98681,25.5,28.699,0.675,12.67134767,7.150929928
"155","SMR","San Marino","Europe","Europe & Central Asia",NA,50400,1.56312,33.4,10.06,NA,NA,50.8826,61.094,0.853,12.26613998,10.80146027
"156","SRB","Serbia","Europe","Europe & Central Asia",75.87003,5630,4.8713,7022.268,24.85,0.89598,56.086,48.1,31.131,0.802,14.40009022,11.36987019
"157","SSD","South Sudan","Africa","Sub-Saharan Africa",62.79444,NA,63.33892,12575.714,34.75,14.3185,NA,NA,0.374,0.385,5.54251,5.726140022
"158","STP","Sao Tome and Principe","Africa","Sub-Saharan Africa",70.41647,1250,12.7354,204.327,39,8.20591,29,21.5724,4.884,0.618,13.36538506,6.215599435
"159","SUR","Suriname","Americas","Latin America & Caribbean",71.48003,7640,15.70238,563.402,26.48,2.70749,30.01436,34.6812,8.194,0.73,13.03564357,9.77680063
"160","SVK","Slovakia","Europe","Europe & Central Asia",78.23097,16030,4.69187,5439.892,17.82,1.55626,57,80,35.65,0.848,14.51303959,12.91141987
"161","SVN","Slovenia","Europe","Europe & Central Asia",81.30905,23910,1.75702,2066.748,16.29,0.79041,44.3,70,32.77,0.918,17.65492058,12.80368042
"162","SWE","Sweden","Europe","Europe & Central Asia",82.40387,50580,2.14952,10067.744,5.73,0.58299,21.4,94,70.921,0.947,19.41852951,12.60972023
"163","SWZ","Eswatini","Africa","Sub-Saharan Africa",57.72837,2930,37.42465,1367.254,19.9,29.84147,21,20.78178,1.422,0.597,13.74434586,5.596
"164","SYC","Seychelles","Africa","Sub-Saharan Africa",73.34014,10460,11.99999,95.843,13.67,14.80839,36,47.076,22.518,0.785,13.94161034,10.28312
"165","SYR","Syrian Arab Republic","Asia","Middle East & North Africa",72.67168,2750,18.44778,18269.868,37.43,1.40538,14,24.3001,12.874,0.577,9.164219856,5.1
"166","TCD","Chad","Africa","Sub-Saharan Africa",59.63255,710,67.40442,14899.994,64.27,13.94676,4,2.1,0.611,0.394,8.035914334,2.57377421
